sampleID	lake	sampleDate	taxon	taxonGroup	depth	depthGroup	dD	d15N	d13C	nIndiv	lengthMean	lengthSd	lengthMin	lengthMax	sComments
Z-0964	L	2007-05-24	Chaoborus	Chaoborus			-131	6.3	-35.3						
Z-0970	Crampton	2007-06-07	Chaoborus	Chaoborus			-133.6	5.2	-30.3						
Z-0971	L	2007-06-07	Chaoborus	Chaoborus			-134.2	5.6	-35.8						
Z-0972	R	2007-06-07	Chaoborus	Chaoborus			-144	9.5	-29.5						
Z-0973	T	2007-06-07	Chaoborus	Chaoborus			-149.2	7.2	-33.1						
Z-0985	L	2007-06-21	Chaoborus	Chaoborus			-138.3	5.4	-35.4						
Z-0996	Crampton	2007-07-12	Chaoborus	Chaoborus			-134.3	5.5	-28.9						
Z-0994	L	2007-07-12	Chaoborus	Chaoborus			-141.4	5.7	-35.8						
Z-0995	R	2007-07-12	Chaoborus	Chaoborus			-136	9.9	-29.8						
Z-0997	T	2007-07-12	Chaoborus	Chaoborus			-148	6.9	-33.1						
Z-1009	L	2007-07-26	Chaoborus	Chaoborus			-131.5	5.7	-33.6						
Z-1017	Crampton	2007-08-09	Chaoborus	Chaoborus			-114.7	5.1	-27.6						
Z-1015	L	2007-08-09	Chaoborus	Chaoborus			-144.3	5.7	-33.8						
Z-1016	R	2007-08-09	Chaoborus	Chaoborus			-137	8.7	-28.3						
Z-1018	T	2007-08-09	Chaoborus	Chaoborus			-131.7	6.7	-33.5						
Z-1033	L	2007-09-30	Chaoborus	Chaoborus			-130.6	5.8	-33.4						
Z-1035	R	2007-09-30	Chaoborus	Chaoborus			-128.4	9	-28.3						
Z-1034	T	2007-09-30	Chaoborus	Chaoborus			-125.2	6.3	-33.6						
Z-1044	Crampton	2007-10-01	Chaoborus	Chaoborus			-114.9	6	-29.2						
B-0675	L	2007-05-31	Chironomidae	Chironomidae	1	1	-113.5	1.5	-32.9	30					
B-0676	L	2007-05-31	Chironomidae	Chironomidae	6	6	-120.6	0.8	-41.5	4					
B-0703	Crampton	2007-06-01	Chironomidae	Chironomidae	6	6	-107.2	3.2	-33	20					
B-0695	Crampton	2007-06-01	Chironomidae	Chironomidae	1	1	-133.4	1.1	-28	20					
B-0689	R	2007-06-01	Chironomidae	Chironomidae	1	1	-125.8	2.8	-26.2	52					"combined B-0689,693"
B-0694	R	2007-06-01	Chironomidae	Chironomidae	6	6	-125.2	3.8	-33.1	11					
B-0681	T	2007-06-01	Chironomidae	Chironomidae	1	1	-125.4	2.2	-32.6	37					
B-0687	T	2007-06-01	Chironomidae	Chironomidae	6	6	-120.8	3.1	-34.1	3					
B-0716	Crampton	2007-07-25	Chironomidae	Chironomidae	1	1	-127.2	2.3	-25.8	37					
B-0722	Crampton	2007-07-25	Chironomidae	Chironomidae	6	6	-112.1	3.8	-32.9	15					
B-0728	L	2007-07-25	Chironomidae	Chironomidae	1	1	-123	2.4	-27.5	35					
B-0733	L	2007-07-25	Chironomidae	Chironomidae	6	6	-125.8	1.8	-37.1	20					
B-0740	R	2007-07-25	Chironomidae	Chironomidae	1	1	-130.5	1.4	-23	46					
B-0741	R	2007-07-25	Chironomidae	Chironomidae	6	6	-126.4	4.2	-33	30					
B-0750	T	2007-07-25	Chironomidae	Chironomidae	1	1	-133.5	2.1	-30.5	60					
